,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Importe,Causa/Justificación,Año
6,"9/2017
"," SERVICIO DE IMPLEMENTACIÓN DE LA PLATAFORMA ""GESTIÓN INTEGRAL DE TRIBUTOS"". ","ECONOMÍA Y HACIENDA
","Servicios
","Abierto - Utilizando más de un criterio de adjudicación
",18/07/2017 ,"02/08/2017
","
", Ajustes en la regularización de la distribución de la disposición del gasto por demora producida en la ejecución del contrato. ,2017
0,"3/2017
"," EJECUCIÓN DE LAS OBRAS COMPRENDIDAS EN EL PROYECTO DE ""REFORMA Y ADECUACIÓN DE LA CASA DE LA FESTA PARA LA UBICACIÓN DE LA CONCEJALÍA DE TURISMO Y FIESTAS, ASÍ COMO DE INFRAESTRUCTURAS SOCIO-CULTURALES COMPLEMENTARIAS"". ","URBANISMO
","Obras
","Abierto - Utilizando un único criterio de adjudicación
",11/12/2018 ,"19/12/2018 10.506,63
","210.132,67
", Necesidad de modificar determinadas instalaciones ,2018
1,"305/2018
"," INSTALACIÓN DE UNA DESHUMECTADORA PARA UNA PISCINA CUBIERTA SITA EN CALLE FERNANDO MADROÑAL, 2. (INVERSIONES FINANCIERAMENTE SOSTENIBLES EJERCICIO 2017). ","COMERCIO, HOSTELERÍA, INFRAESTRUCTURAS E INMIGRACIÓN
","Obras
","Negociado con publicidad
",11/12/2018 ,"16/01/2019
","
"," informe de feha 12/11/2018 de D. Enrique Bou Pérez, Técnico Municipal y responsable del contrato. ",2018
2,"62/2018
", PROYECTO BÁSICO Y DE EJECUCIÓN PARA LA REHABILITACIÓN DEL MURO DE CERRAMIENTO DE LA PLAZA DE SANTA TERESA (PANTEÓN DE QUIJANO). (INVERSIONES FINANCIERAMENTE SOSTENIBLES EJERCICIO 2017). ,"URBANISMO
","Obras
","Negociado con publicidad
",10/10/2018 ,"19/10/2018
","
"," Informe de fecha 18/09/2018 del director facultativo de las obras, D. Fco. Ramón Casal Asensio ",2018
3,"62/2018
", PROYECTO BÁSICO Y DE EJECUCIÓN PARA LA REHABILITACIÓN DEL MURO DE CERRAMIENTO DE LA PLAZA DE SANTA TERESA (PANTEÓN DE QUIJANO). (INVERSIONES FINANCIERAMENTE SOSTENIBLES EJERCICIO 2017). ,"URBANISMO
","Obras
","Negociado con publicidad
",02/10/2018 ,"19/10/2018
","
"," Informe de fecha 16/08/2018 del director facultativo de las obras, D. Fco. Ramón Casal Asensio ",2018
4,"348/2018
"," CONTRATACIÓN DE LAS OBRAS DE ACONDICIONAMIENTO Y RENOVACIÓN DE VARIAS INSTALACIONES DEPORTIVAS MUNICIPALES DE LA CIUDAD E ALICANTE, DIVIDIDO EN TRES ( 3 ) LOTES ( INVERSIONES FINANCIERAMENTE SOSTENIBLES EJERCICIO 2017 ): LOTE A: RENOVACIÓN DE CAMPO DE FÚTBOL CABO DE LAS HUERTAS LOTE B: RENOVACIÓN DE CAMPO DE FÚTBOL DEL HIPÓDROMO MONTE TOSSAL LOTE C: RENOVACIÓN DE CAMPO DE FÚTBOL VIRGEN DEL REMEDIO ","COMERCIO, HOSTELERÍA, INFRAESTRUCTURAS E INMIGRACIÓN
","Obras
","Negociado con publicidad
",06/11/2018 ,"14/11/2018
","
"," Informe elaborado por el responsable del contrato D. Manuel Martínez Marhuenda, Ingeniero Agrónomo Municipal y las actas  de precios contradictorios. ",2018
5,"349/2018
"," ADECUACIÓN DEL ESPACIO FORESTAL DEGRADADO EN EL TOSSAL (ENTORNO CENTRO DE METADONA), EN EL ÁMBITO DE LA ESTRATEGIA DE DESARROLLO URBANO SOSTENIBLE INTEGRADO (EDUSI) ÁREA LAS CIGARRERAS, DEL MUNICIPIO DE ALICANTE, COFINANCIADO POR LA COMISIÓN EUROPEA CON CARGO AL FEDER DENTRO DEL EJE 13 ""ASISTENCIA TÉCNICA"" DEL PROGRAMA OPERATIVO DE CRECIMIENTO SOSTENIBLE,  PARA LA PROGRAMACIÓN 2014-2020.  UNA MANERA DE HACER EUROPA"". ","COMERCIO, HOSTELERÍA, INFRAESTRUCTURAS E INMIGRACIÓN
","Obras
","Abierto - Utilizando más de un criterio de adjudicación
",11/12/2018 ,"16/01/2019
","
", Informe de 15/11/2018 del director facultativo de las obras (D. Carlos Domínguez Herrera). ,2018
0,Alc-cont 82/18,Desarrollo Cuadro Mando Policía,SERVICIO DE CONTRATACIÓN,Servicios,Ordinario,2019-07-23 00:00:00,2019-07-25,0.0,"Ampliación del plazo de ejecución del contrato en tres meses , a contar desde el día siguiente a la formalización contractual.",2019
1,ALC-CONT-114/18,INSTALACIONES CIUDAD DEPORTIVA (IFS 2018) . Lote 1,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2019-08-13 00:00:00,2019-08-06,0.0,Ampliación del plazo de ejecución del contrato en 28 días naturales.,2019
2,ALC-CONT-112/18,Accesibilidad plaza Cruz Roja,URBANISMO,Obras,Ordinario,22-10-2019,2019-10-25,0.0,Ampliación del plazo de ejecución de las obras en 20 días naturales,2019
3,ALC-CONT-116/18,INFRAESTRUCTURAS LIBRE-VERDE DEPORTIVAS (IFS 2018),"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2019-11-05 00:00:00,2019-11-25,0.0,Ampliación del plazo de ejecución del contrato hasta el 15/12/2019,2019
4,ALC-CONT-17/2019,Obras fabrica Tabacos-EDUSI-FEDER,URBANISMO,Obras,Ordinario,2019-12-17 00:00:00,2019-11-28,0.0,Ampliación del plazo de ejecución del contrato hasta el 14/12/2019,2019
5,ALC-CONT-112/18,Accesibilidad plaza Cruz Roja,URBANISMO,Obras,Ordinario,2019-12-17 00:00:00,2019-12-19,19311.54,Introducción de precios nuevos que afectan aunidades de obras que en su conjunto exceden del 3% del presupuesto primitivo delmismo.,2019
6,81/18,Traslado Torre Placia,SERVICIO DE GESTIÓN PATRIMONIAL,Obras,Ordinario,2020-03-17 00:00:00,2020-01-13,0.0,Ampliación del plazo de ejecución debido a un retraso en las autorizaciones preceptivas para las investigaciones arqueológicas. Ampliación plazo hasta el 14/02/2020. Convalidación de lo actuado,2019
7,ALC-CONT-114/18,INSTALACIONES CIUDAD DEPORTIVA (IFS 2018): Lote 2,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2019-08-13 00:00:00,2020-01-14,0.0,Ampliación del plazo de ejecución del contrato en 28 días naturales.,2019
8,ALC-CONT-124/18,Acondicionamiento entorno de La Isleta,URBANISMO,Obras,Ordinario,2019-11-05 00:00:00,2020-01-14,0.0,Ampliación del plazo de ejecución del contrato hasta el 4/12/2019,2019
9,ALC-CONT-16/2019,Mejora accesibilidad C/ Poeta Zorrilla,URBANISMO,Obras,Ordinario,2019-12-17 00:00:00,2020-01-21,0.0,Ampliación plazo de ejecución de las obras en 15 días,2019
10,,,,,,,,,,2019
11,,,,,Page 1 / 1,,,,,2019
0,ALC-CONT-114/18,INSTALACIONES CIUDAD DEPORTIVA (IFS 2018),"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2019-08-13 00:00:00,2019-08-06,0,Ampliación plazo en 28 días naturales para redistribución de la planta e instalaciones.,2020
1,ALC-CONT-116/18,INFRAESTRUCTURAS LIBRE-VERDE DEPORTIVAS (IFS 2018),"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2019-11-05 00:00:00,2019-11-25,0,Ampliación plazo hasta 15/12/19 por daños causados por el temporal DANA,2020
2,ALC-CONT-17/2019,Obras fabrica Tabacos-EDUSI-FEDER,URBANISMO,Obras,Ordinario,2019-12-17 00:00:00,2019-11-28,0,Ampliación plazo en 30 días por daños causados por el temporal DANA,2020
3,81/18,Traslado Torre Placia,SERVICIO DE GESTIÓN PATRIMONIAL,Obras,Ordinario,2020-03-17 00:00:00,2020-01-13,0,Solicitud de ampliacion del plazo de ejecución debido a un retraso en las autorizaciones preceptivas para las investigaciones arqueológicas. Ampliación plazo hasta el 14/02/2020,2020
4,ALC-CONT-114/18,INSTALACIONES CIUDAD DEPORTIVA (IFS 2018),"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2019-08-13 00:00:00,2020-01-14,0,"Ampliacion plazo en 28 días naturales, hasta el 29/08/2019 para rediseñar la totalidad de la planta de pista de fútbol y atletismo.",2020
5,ALC-CONT-124/18,Acondicionamiento entorno de La Isleta,URBANISMO,Obras,Ordinario,2019-11-05 00:00:00,2020-01-14,0,Ampliación plazo hasta el 4/12/2019 debido a lluvias acaecidas con cierta intensidad.,2020
6,ALC-CONT-16/2019,Mejora accesibilidad C/ Poeta Zorrilla,URBANISMO,Obras,Ordinario,2019-12-17 00:00:00,2020-01-21,0,Ampliación plazo en 15 días hasta el 30/12/19 para poder terminar trabajos de urbanización una vez finalizados los trabajos de reposición de aguas.,2020
7,58/19,Urb. Parcela C/ Aucuba Madroño. La Cañada Fenollar,URBANISMO,Obras,Ordinario,2020-03-31 00:00:00,2020-03-10,0,"Ampliación del plazo debido a la demora en el inicio de la obra, la demora por parte de ibedrola en la aprobaciónd el aproyecto de canalización y las precipitaciones de los días 21 a 23 de enero. ",2020
8,ALC-CONT-22/2019,Obras zona verde Avda. PP Escandinavos,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2020-03-17 00:00:00,2020-04-28,0,Ampliación del plazo de ejecución debido a la DANA de los días 19 y 21 de enero de 2020.,2020
9,ALC-CONT-14/2019,Recuperación arquitectónica castillo San Fernando,SERVICIO DE CULTURA,Obras,Ordinario,2020-07-28 00:00:00,2020-05-20,0,retraso en la ejecución debido a la aplicación de los protocolos sanitarios y actos vándalicos.,2020
10,ALC-CONT-19/2019,Rehabilitación del Skatepark Monte Tossal,URBANISMO,Obras,Ordinario,2020-06-23 00:00:00,2020-06-25,0,Ampliación plazo de ejecución debido a la paralización por la pandemia del COVID-19.,2020
11,42/19,Comunicación y promoción Hosteleria y Comercio,DEPARTAMENTO DE COMERCIO Y HOSTELERÍA,Servicios,Ordinario,2020-07-28 00:00:00,2020-07-02,0,Variación en las prestaciones  objeto del contrato como consecuencia de la pandemia del COVID-19 sin variar el importe ni duración contrato,2020
12,49/19,Obras mejoras zonas verdes Barranco ovejas,URBANISMO,Obras,Ordinario,2020-07-21 00:00:00,2020-07-20,0,"Ampliación del plazo de ejecución de las obras (5 semanas, hasta 26/08/2020) por contratiempos (barandilla y gestión de residuos) que suponen documentación y tramitación demorando las obras.",2020
13,52/19,Acondicionamiento Plaza Viña,URBANISMO,Obras,Ordinario,2020-09-08 00:00:00,2020-08-13,90027.52 €,"Modificado de proyecto en importe, que no supone ampliación de plazo",2020
14,45/19,Urbanizacion plaza Justicia,URBANISMO,Obras,Ordinario,2020-09-08 00:00:00,2020-08-13,116454.24 €,"Modificado de proyecto en importe, que no supone ampliación de plazo",2020
15,35/19,Señalización vertical y horizonal ciudad,"SERVICIO TRÁFICO, TRANSPORTES, MOVILIDAD Y ACCESIBILIDAD",Servicios,Urgente,2020-09-22 00:00:00,2020-09-23,0,Ampliación de plazo para instalación de sistema informático de gestión del servicio hasta 13/10/20 por causa del estado de alarma,2020
16,88/19,"Adecuacion 2 locales C/ Sargento Vaillo, 2 lotes","SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2020-10-27 00:00:00,2020-10-01,0,Ampiación del plazo de ejecución de las obras Lote 2 por autorización de permisos (demora por denuncia de un vecino de la comunidad),2020
17,88/19,"Adecuacion 2 locales C/ Sargento Vaillo, LOTE 2","SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2020-10-27 00:00:00,2020-10-01,0,"Ampliación plazo en 21 días, hasta el 15/11/20, por retrasos en ejecución obras por causas imprevistas.",2020
18,31/19,Erosion-adecuac. espacio forestal degradad Tossal,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2020-10-13 00:00:00,2020-10-13,0,Ampiación del plazo de ejecución de las obras hasta 11/12/20 por  decreto Covid y por época en la plantación no apta para riego.,2020
19,134/19,Incremento plazas aparcamiento P.I. Las Atalayas ,URBANISMO,Obras,Ordinario,2020-10-20 00:00:00,2020-10-13,0,Ampliación del plazo debido a circusntancias imprevisibles para el contratista.,2020
20,ALC-CONT-12/2019,Pasos elevados ferrocarril (Emergencia),"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Emergencia,2020-10-27 00:00:00,2020-10-22,0,Ampiación del plazo de ejecución de las obras (15 semanas) por demora en autorizaciones y nuevo estudio de la estructura.,2020
21,75/19,Sábado Ramblero y Fiesta Fin Año 2020-2021,SERVICIO DE FIESTAS Y OCUPACIÓN DE VÍA PÚBLICA,Privado,Ordinario,2020-11-24 00:00:00,2020-11-05,0.-,COVID-19 ( Modificación del plazo de ejecución del contrato lote C),2020
22,70/19,Actividades Prevención Conductas Adictivas ,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2020-12-09 00:00:00,2020-11-09,0,COVID-19 ( modificación de la fecha de duración del contrato) lote 3,2020
23,78/19,Acondicionamiento Plaza Progreso,URBANISMO,Obras,Ordinario,2020-12-01 00:00:00,2020-11-11,91281.72 €,"Modificación contrato: Tras reiteradas peticiones de los vecinos para que se solucione el problema del pavimento de la Plaza del Progreso en el barrio Tómbola, debido sobre todo al empuje de las raíces de los árboles.",2020
24,30/20,Obras emergencia recuperación playa Postiguet,SERVICIO DE LIMPIEZA Y RECOGIDA DE RESIDUOS,Obras,Emergencia,2020-12-01 00:00:00,2020-11-13,62197.96 €,Modificado contrato: El proyecto original no incluía la aportación de materiales de relleno. También se vio necesario disponer de un sistema de reducción de olores que afecta a los comercios cercanos y los vecinos,2020
25,70/19,Actividades Prevención Conductas Adictivas ,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2020-12-09 00:00:00,2020-11-19,1077.5 €,"COVID-19, se incrementan en un 10% el importe del contrato al incrementarse el nº de sesiones ( lote nº 8)",2020
26,127/19,Renovacion paisajistica Plaza Castellón,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2020-12-22 00:00:00,2020-11-20,0,Se amplía el plazo de ejecución como consecuencia de situaciones excepciones (rebrote covid19 posterior a la epoca estival y Fugas de agua por averías en la red),2020
27,117/19,Obras baluarte mina castillo Sta Barbara,SERVICIO DE CULTURA,Obras,Ordinario,2020-12-22 00:00:00,2020-11-25,0,La atramitación de residuos de materiales peligrosos ha supueto una interrupción de los trabajos durante 2 meses y habiendo transcurridos casi 4 meses de obra por la aparición de hallazgos arqueológicos de importancia.,2020
28,31/19,Erosion-adecuac. espacio forestal degradad Tossal,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2020-12-15 00:00:00,2020-12-02,188711.23 €,"Modificación contrato en importe, que no supone aumento del plazo de ejecución. Circunstancias no previstas inicialmente y que han surgido durante la ejecución de las obras, exponiendo los motivos y argumentos en la redacción del proyecto modificado.",2020
29,75/19,Sábado Ramblero y Fiesta Fin Año 2020-2021,SERVICIO DE FIESTAS Y OCUPACIÓN DE VÍA PÚBLICA,Privado,Ordinario,-,2021-01-21,0,"prohibición de realizar eventos  en el año 2021 como consecuencia del covid , por lo que se amplía plazo de ejecución contrato en un año ( lote A)",2020
30,,,,,,,,,,2020
31,,,,,Page 1 / 1,,,,,2020
0,33/19,Centro acogida e inserción personas sin hogar,SERVICIO DE CONTRATACIÓN,Servicios,Urgente,2021-03-30 00:00:00.0,2020-10-23 00:00:00.0,96444.49,Aumento de prestaciones objeto del contrato,2021
1,108/19,Renovación y pavimentación de calzadas. 8 lotes.,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2021-01-26 00:00:00.0,2020-12-23 00:00:00.0,0.0,"Se considera necesario introducir ligeras modificaciones en cuanto a la superficie a tratar, que no suponen incremento del presupuesto ni variación en el plazo de ejecución",2021
2,87/19,Obras Apertura público  cinco refugios antiaéreos,SERVICIO DE CULTURA,Obras,Ordinario,2021-01-26 00:00:00.0,2021-01-14 00:00:00.0,0.0,Circunstancias sobrevenidas durante la ejeución del contrato que han afectado a su desarrollo,2021
3,116/19,Carnaval Adultos 2020-2021,SERVICIO DE FIESTAS Y OCUPACIÓN DE VÍA PÚBLICA,Servicios,Urgente,2021-02-02 00:00:00.0,2021-01-19 00:00:00.0,15125.0,COVID-19,2021
4,115/19,Construccion nave industrial fase 1,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2021-02-09 00:00:00.0,2021-01-20 00:00:00.0,0.0,"Durante la ejecución de las obras contempladas en el proyecto principal, la dirección facultativa consideró necesario introducir unas ligeras modificaciones, que se señalan en el informe justificativo del proyecto modificado.",2021
5,75/19,Sábado Ramblero y Fiesta Fin Año 2020-2021,SERVICIO DE FIESTAS Y OCUPACIÓN DE VÍA PÚBLICA,Privado,Ordinario,2021-02-09 00:00:00.0,2021-01-21 00:00:00.0,0.0,"Medidas COVID-20. Prohibición de realizar eventos en el año 2021 como consecuencia del covid, por lo que se amplía plazo de ejecución contrato en un año ( lote A)",2021
6,110/19,Luminarias barrios y polígonos 3 Lotes,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Suministros,Ordinario,2021-02-23 00:00:00.0,2021-01-26 00:00:00.0,0.0,"Como consecuencia de la situación excepcional de la ampliación de pedido y recepción de material en fecha, no hay garantía de recibir los materiales a tiempo, y se solicita ampliar el plazo hasta 20-02-2021",2021
7,81/19,Plan Local de Residuos y Proy Gestión Plan Zonal 9,SERVICIO DE LIMPIEZA Y RECOGIDA DE RESIDUOS,Servicios,Ordinario,2021-03-09 00:00:00.0,2021-02-15 00:00:00.0,0.0,Retrasos por obtención de documentación técnica y  por la crisis sanitaria,2021
8,104/19,Vallados Semana Santa y Fogueres,SERVICIO DE CONTRATACIÓN,Suministros,Ordinario,2021-04-06 00:00:00.0,2021-03-09 00:00:00.0,0.0,Cancelación de las procesiones previstas durante la celebración de la Semana Santa 2021.,2021
9,124/19,Reforma Finca Benisaudet,URBANISMO,Obras,Ordinario,2021-04-20 00:00:00.0,2021-03-22 00:00:00.0,0.0,Ampliación del plazo de ejecución inicial en dos (2) meses debido a circunstancias imprevisibles.,2021
10,70/19,Actividades Prevención Conductas Adictivas ,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2021-05-04 00:00:00.0,2021-03-31 00:00:00.0,0.0,Restricciones derivadas del COVID-19,2021
11,137/19,Mejora sistema viario C/ Padre Espla,URBANISMO,Obras,Ordinario,2021-04-13 00:00:00.0,2021-04-09 00:00:00.0,0.0,Circunstancias ajenas al contratista,2021
